epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2387.72,0.23224,2.48303,0.16605,0.20881,0.97898,0.99829,1,0.995,0.97207,0.93956,0.94118,0.92059,0.37592,0.32857,2.17509,0.14211,0.2305,0.63106,0.00163964,0.00163964,0.00163964
93,2411.67,0.232,2.60012,0.17488,0.21372,0.9552,0.98155,1,0.995,0.96629,0.7487,0.76471,0.65823,0.24888,0.3181,3.04183,0.1389,0.24784,0.61497,0.00163568,0.00163568,0.00163568
94,2435.51,0.23679,2.59555,0.17106,0.21266,0.99706,0.97126,1,0.995,0.971,0.72456,0.73529,0.67185,0.24541,0.36487,2.32057,0.14051,0.26043,0.62529,0.00163172,0.00163172,0.00163172
95,2459.44,0.22622,2.54295,0.17243,0.21384,0.98055,0.99775,1,0.995,0.9791,0.99775,1,0.995,0.52099,0.34087,1.70784,0.13851,0.2663,0.65843,0.00162776,0.00162776,0.00162776
96,2484.85,0.22416,2.42713,0.16287,0.21764,0.97249,0.99846,1,0.995,0.9645,0.91036,0.91176,0.88987,0.44359,0.3711,1.97225,0.14394,0.25154,0.64746,0.0016238,0.0016238,0.0016238
97,2508.42,0.24441,2.82268,0.17131,0.21889,0.96654,0.99839,1,0.995,0.96614,0.99839,1,0.995,0.59571,0.36996,1.65266,0.145,0.30786,0.65282,0.00161984,0.00161984,0.00161984
98,2540.36,0.256,2.67617,0.16747,0.22945,0.9907,0.99855,1,0.995,0.94317,0.96918,0.97059,0.95948,0.53456,0.35325,2.758,0.16085,0.33658,0.64051,0.00161588,0.00161588,0.00161588
99,2564.54,0.21784,2.49057,0.17078,0.21397,0.97736,0.99845,1,0.995,0.95849,0.96908,0.97059,0.9538,0.52963,0.33286,1.5925,0.1336,0.26774,0.64068,0.00161192,0.00161192,0.00161192
100,2588.53,0.24338,2.301,0.16527,0.2221,0.97082,0.99842,1,0.995,0.9124,0.99842,1,0.995,0.54204,0.45403,1.47843,0.13566,0.2841,0.75587,0.00160796,0.00160796,0.00160796
101,2616.04,0.24727,2.10231,0.17252,0.21174,0.98953,0.99843,1,0.995,0.96707,0.99843,1,0.995,0.43257,0.37495,1.78397,0.13708,0.2858,0.68585,0.001604,0.001604,0.001604
